Weight,Treatment group,Genotype
48.19247911899152,Control,WT
39.443581704740275,Control,WT
68.88731185476945,Control,WT
55.62237200179259,Control,WT
43.66299453442122,Control,WT
82.99796123516542,TX,WT
103.29779648147749,TX,WT
98.14083745164149,TX,WT
101.02800758550347,TX,WT
97.63500570619517,TX,WT
100.93714663678116,Control,-/-
115.4676169670703,Control,-/-
99.01084927221437,Control,-/-
86.55019711090998,Control,-/-
115.68779938442042,Control,-/-
47.882550189214015,TX,-/-
61.042354300244135,TX,-/-
50.565595014798284,TX,-/-
57.351355998220164,TX,-/-
41.36339434432887,TX,-/-
